date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:08	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2026%20Jul%202020%2022:00:07%20GMT	https://diassl.com/robots.txt		(from )
20:14:10	57773/57773	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Apr%202022%2014:44:08%20GMT	https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ	D:/My%20Web%20Sites/SATHSARA/diassl.com/index1c2a.html	(from )
20:14:11	88051/88051	---M--	200	added ('OK')	text/css	date:Sun,%2026%20Jul%202020%2022:20:33%20GMT	https://diassl.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.4.5	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-content/themes/astra/assets/css/minified/style.min747d.css	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:11	719/719	---MC-	200	added ('OK')	application/rss+xml	etag:%22715b59a19e615bc192303a17be334b79%22	https://diassl.com/comments/feed/	D:/My%20Web%20Sites/SATHSARA/diassl.com/comments/feed/index.html	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:11	63316/63316	---MC-	200	added ('OK')	application/rss+xml	etag:%22ffd52b3d4d305ff96ce934d5fccc473a%22	https://diassl.com/feed/	D:/My%20Web%20Sites/SATHSARA/diassl.com/feed/index.html	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:12	3304/3304	---M--	200	added ('OK')	font/woff	date:Sun,%2026%20Jul%202020%2022:20:33%20GMT	https://diassl.com/wp-content/themes/astra/assets/fonts/astra.woff	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:12	3412/3412	---M--	200	added ('OK')	text/css	date:Sun,%2026%20Jul%202020%2022:20:33%20GMT	https://diassl.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.4.5	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-content/themes/astra/assets/css/minified/menu-animation.min747d.css	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:12	53907/53907	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2003:37:53%20GMT	https://diassl.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.9	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-includes/css/dist/block-library/style.min647e.css	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:12	2598/2598	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2022:36:00%20GMT	https://diassl.com/wp-content/plugins/wp-next-post-navi/style.css?ver=5.5.9	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-content/plugins/wp-next-post-navi/style647e.css	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
20:14:13	776/776	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2009:34:38%20GMT	https://diassl.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.3	D:/My%20Web%20Sites/SATHSARA/diassl.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementore225.css	(from https://diassl.com/?fbclid=IwAR0NPPySSiTSSVXfMN4XDh-SUR2zuBsbgpVT70JDrODT6FI2Kel0snT-QcQ)
